"Constituency","MP","Party","Projected number of 0-15 yr olds in a household where an adult experienced domestic abuse in last year","Projected number of 0-15 yr olds in a household where an adult has ever experienced domestic abuse","Projected number of 0-15 yr olds in a household where an adult has moderate or higher mental ill-health symptoms","Projected number of 0-15 yr olds in a household where an adult has severe mental ill-health symptoms","Projected number of 0-15 yr olds in a household where an adult reports any substance misuse","Projected number of 0-15 yr olds in a household where an adult has an alcohol or drug dependency","Projected number of 0-15 yr olds in a household where an adult has any of the 'toxic trio' issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has any of the 'toxic trio' issues (narrow measures)","Projected number of 0-15 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (narrow measures)","Projected number of 0-15 yr olds in a household where an adult has 2 or more of the toxic trio issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has 2 or more of the toxic trio issues (narrow measures)","Projected number of 0-15 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (narrow measures)"
"Barking","Dame Margaret Hodge","Labour",2610,11560,13040,5420,4710,1800,19220,7700,6690,1610,8080,2040,1490,460
"Barnsley Central","Dan Jarvis","Labour",1170,4530,5300,2150,1770,660,7760,3050,2600,670,3190,850,610,150
"Barnsley East","Stephanie Peacock","Labour",1310,5030,5920,2420,1870,780,8530,3350,2990,740,3640,980,630,200
"Barrow and Furness","John Woodcock","Independent",1180,4200,5050,2220,1590,780,7190,2940,2510,740,3140,950,590,170
"Basildon and Billericay","Mr John Baron","Conservative",1750,5690,7390,3230,2290,1130,10290,4330,3780,1090,4660,1400,890,250
"Basingstoke","Mrs Maria Miller","Conservative",1540,6270,7280,2700,2440,890,10920,3900,3420,740,4250,1040,810,210
"Bassetlaw","John Mann","Labour",1340,4900,6180,2570,1940,890,8830,3480,2930,820,3600,1050,670,190
"Bath","Wera Hobhouse","Liberal Democrat",1200,4150,4930,1940,1450,540,6950,2680,2420,660,3060,880,630,140
"Batley and Spen","Tracy Brabin","Labour Co-op",1700,6480,7250,2850,2260,850,10860,4080,3490,810,4300,1030,800,220
"Battersea","Marsha De Cordova","Labour",1350,5310,6410,2630,2210,940,9110,3670,3110,810,3830,1060,760,210
"Beaconsfield","Mr Dominic Grieve","Conservative",1250,4790,5670,2130,1850,750,8660,3130,2510,540,3060,760,550,150
"Beckenham","Bob Stewart","Conservative",1210,4620,5540,2240,1790,750,8140,3050,2580,590,3170,840,600,160
"Bedford","Mohammad Yasin","Labour",1660,6470,8270,3530,2490,1120,10960,4700,4010,1080,4950,1410,940,260
"Bermondsey and Old Southwark","Neil Coyle","Labour",1560,6800,7650,3220,2760,1070,11230,4580,3970,970,4800,1210,900,270
"Berwick-upon-Tweed","Anne-Marie Trevelyan","Conservative",710,2890,3350,1260,1130,400,4990,1810,1590,350,1980,480,390,100
"Bethnal Green and Bow","Rushanara Ali","Labour",1970,8310,9320,3880,3260,1240,13660,5500,4770,1180,5790,1480,1120,340
"Beverley and Holderness","Graham Stuart","Conservative",1080,4160,4820,1820,1530,590,7160,2630,2290,520,2820,700,520,140
"Bexhill and Battle","Huw Merriman","Conservative",1020,4160,4860,1810,1660,590,7300,2620,2250,480,2810,680,570,150
"Bexleyheath and Crayford","Sir David Evennett","Conservative",1340,5210,6160,2480,1940,840,9000,3430,2970,760,3660,980,680,180
"Birkenhead","Frank Field","Independent",1630,5340,6190,2730,2040,910,8980,3950,3150,870,3800,1080,650,240
"Birmingham, Edgbaston","Preet Kaur Gill","Labour Co-op",1650,6370,6870,2930,2210,920,10040,4000,3620,910,4450,1180,810,250
"Birmingham, Erdington","Jack Dromey","Labour",1920,7370,8140,3540,2980,1210,12010,4930,4280,1110,5260,1420,1160,290
"Birmingham, Hall Green","Mr Roger Godsiff","Labour",2390,8540,10070,4340,2970,1320,14260,6010,5220,1350,6290,1700,1010,360
"Birmingham, Hodge Hill","Liam Byrne","Labour",2660,11490,12770,5330,4400,1630,18780,7500,6540,1610,7900,2030,1450,450
"Birmingham, Ladywood","Shabana Mahmood","Labour",2430,9870,11260,4760,3750,1520,16370,6710,5870,1460,7070,1820,1210,390
"Birmingham, Northfield","Richard Burden","Labour",1740,7090,8060,3460,2700,1130,11620,4850,4270,1070,5160,1320,930,280
"Birmingham, Perry Barr","Mr Khalid Mahmood","Labour",2190,7480,9030,3870,2630,1180,12670,5300,4570,1240,5560,1560,960,330
"Birmingham, Selly Oak","Steve McCabe","Labour",1350,5020,6320,2510,2030,830,9020,3500,3060,770,3740,1030,670,210
"Birmingham, Yardley","Jess Phillips","Labour",2040,8360,9370,3920,3400,1300,13740,5580,4830,1200,5890,1520,1210,340
"Bishop Auckland","Helen Goodman","Labour",1060,4100,4840,1950,1690,680,7100,2790,2380,600,2920,770,560,140
"Blackburn","Kate Hollern","Labour",2090,7540,8940,3850,2710,1240,12800,5460,4590,1190,5550,1490,920,330
"Blackley and Broughton","Graham Stringer","Labour",3330,9570,11900,5590,3490,1790,16540,7710,6350,1850,7610,2260,1160,480
"Blackpool North and Cleveleys","Paul Maynard","Conservative",1080,4190,4780,2020,1580,700,6950,2840,2510,640,3080,810,570,140
"Blackpool South","Gordon Marsden","Labour",1300,4590,5220,2320,1800,790,7610,3310,2740,760,3320,920,630,200
"Blaydon","Liz Twist","Labour",1000,3900,4470,1710,1430,540,6730,2450,2090,460,2570,610,480,140
"Blyth Valley","Mr Ronnie Campbell","Labour",990,3980,4920,1960,1690,740,6980,2790,2390,600,2910,760,520,160
"Bognor Regis and Littlehampton","Nick Gibb","Conservative",1170,4590,5490,2140,1870,790,8130,3010,2580,620,3190,850,650,160
"Bolsover","Mr Dennis Skinner","Labour",1270,4940,6110,2560,1900,840,8410,3490,2950,800,3630,1040,700,200
"Bolton North East","Sir David Crausby","Labour",1610,5740,6970,2960,2350,1060,9980,4110,3570,950,4390,1220,830,240
"Bolton South East","Yasmin Qureshi","Labour",2020,7400,8800,3840,2790,1300,12470,5310,4650,1190,5650,1510,960,320
"Bolton West","Chris Green","Conservative",1350,5140,5690,2280,1780,700,8470,3270,2890,670,3540,850,620,170
"Bootle","Peter Dowd","Labour",1500,5490,6780,2960,2320,1090,9650,4200,3470,920,4190,1150,740,260
"Boston and Skegness","Matt Warman","Conservative",1300,5040,6080,2440,2000,810,8680,3480,2940,760,3600,950,700,210
"Bosworth","David Tredinnick","Conservative",1260,4840,5650,2140,1810,700,8400,3110,2680,600,3300,810,600,160
"Bournemouth East","Mr Tobias Ellwood","Conservative",1430,5400,6170,2470,1930,770,9130,3550,3090,720,3770,920,650,180
"Bournemouth West","Conor Burns","Conservative",1220,4800,5800,2440,1880,800,8060,3320,2840,750,3510,990,680,190
"Bracknell","Dr Phillip Lee","Conservative",1660,6220,7300,2880,2310,920,10720,4130,3550,820,4330,1090,770,210
"Bradford East","Imran Hussain","Labour",2350,8910,10700,4360,3590,1460,15560,6090,5310,1320,6480,1770,1160,340
"Bradford South","Judith Cummins","Labour",2060,6810,8620,3660,2460,1120,11860,4910,4140,1160,5150,1520,1030,290
"Bradford West","Naz Shah","Labour",2380,8730,10340,4310,3240,1380,14740,5930,5280,1330,6450,1740,1140,360
"Braintree","James Cleverly","Conservative",1460,5460,6390,2450,1990,760,9210,3470,3150,750,3940,1030,770,200
"Brent Central","Dawn Butler","Labour",2190,9200,10620,4370,3720,1430,15460,6200,5330,1310,6450,1690,1220,380
"Brent North","Barry Gardiner","Labour",1860,7290,8930,3520,3010,1340,13070,4970,4210,1020,5190,1360,1020,270
"Brentford and Isleworth","Ruth Cadbury","Labour",1890,7240,8670,3470,2980,1310,12790,4880,4150,1050,5140,1390,1010,260
"Brentwood and Ongar","Alex Burghart","Conservative",1430,5020,5890,2430,1730,690,8410,3360,2950,710,3560,910,620,170
"Bridgwater and West Somerset","Mr Ian Liddell-Grainger","Conservative",1420,5220,6480,2770,2120,1070,9250,3770,3160,880,3920,1150,730,200
"Brigg and Goole","Andrew Percy","Conservative",1100,4030,5040,1910,1560,600,7180,2680,2390,570,2960,800,530,150
"Brighton, Kemptown","Lloyd Russell-Moyle","Labour Co-op",1030,3870,4710,1840,1570,570,6820,2620,2220,570,2730,740,550,130
"Brighton, Pavilion","Caroline Lucas","Green Party",1060,4310,5040,1870,1700,610,7510,2710,2380,520,2960,720,580,150
"Bristol East","Kerry McCarthy","Labour",1380,5120,6750,2810,2260,1150,9270,3950,3180,860,3890,1160,700,230
"Bristol North West","Darren Jones","Labour",1600,5850,7470,3110,2160,980,10200,4260,3540,1010,4310,1290,740,250
"Bristol South","Karin Smyth","Labour",1810,6950,7880,3330,2400,1050,11290,4580,4140,1030,5010,1330,840,270
"Bristol West","Thangam Debbonaire","Labour",1360,5370,6650,2570,2310,970,9560,3690,3170,780,3870,1010,750,230
"Broadland","Mr Keith Simpson","Conservative",1110,4030,5070,2040,1760,750,7360,2760,2280,550,2830,800,580,160
"Bromley and Chislehurst","Robert Neill","Conservative",1280,5090,6150,2360,2070,870,9100,3340,2870,670,3530,920,700,190
"Bromsgrove","Sajid Javid","Conservative",1080,4270,5070,1860,1730,680,7660,2700,2300,480,2870,710,550,150
"Broxbourne","Mr Charles Walker","Conservative",1380,5360,6310,2500,2120,900,9370,3520,3030,760,3730,990,710,180
"Broxtowe","Anna Soubry","Change UK - The Independent Group",1020,4190,4950,1820,1670,570,7400,2630,2280,490,2830,680,560,150
"Buckingham","John Bercow","Speaker",1260,5130,5740,2090,2150,750,9030,3060,2640,520,3280,770,660,140
"Burnley","Julie Cooper","Labour",1620,5530,6620,2920,1850,880,9150,3930,3550,930,4270,1160,670,240
"Burton","Andrew Griffiths","Conservative",1480,5700,6440,2530,2060,790,9670,3630,3120,710,3840,920,700,190
"Bury North","James Frith","Labour",1380,5300,5630,2290,1820,680,8500,3280,2930,690,3600,860,660,170
"Bury South","Mr Ivan Lewis","Independent",1690,6150,6870,2960,2280,970,10090,3970,3470,1000,4380,1280,890,220
"Bury St Edmunds","Jo Churchill","Conservative",1300,5090,6000,2210,2130,830,9120,3210,2740,580,3420,860,670,170
"Calder Valley","Craig Whittaker","Conservative",1380,5420,5990,2310,2100,760,9050,3340,2970,690,3730,940,760,170
"Camberwell and Peckham","Ms Harriet Harman","Labour",2250,8650,9540,4170,3460,1380,14000,5840,5030,1330,6190,1660,1410,350
"Camborne and Redruth","George Eustice","Conservative",1140,4180,5270,2210,1680,840,7550,3050,2500,690,3080,890,570,170
"Cambridge","Daniel Zeichner","Labour",1340,5040,6000,2300,1980,770,8810,3300,2830,690,3540,950,710,180
"Cannock Chase","Amanda Milling","Conservative",1140,4470,5380,2070,1760,730,7940,2910,2510,600,3080,810,610,150
"Canterbury","Rosie Duffield","Labour",1190,4650,5370,2040,1760,670,8080,2970,2520,550,3100,730,590,160
"Carlisle","John Stevenson","Conservative",1060,4140,4960,2000,1570,690,7230,2760,2380,610,2930,790,540,140
"Carshalton and Wallington","Tom Brake","Liberal Democrat",1710,6080,7260,3070,2380,1090,10540,4190,3510,970,4390,1280,880,240
"Castle Point","Rebecca Harris","Conservative",1150,4090,4690,1890,1460,580,6960,2740,2310,590,2820,720,500,150
"Central Devon","Mel Stride","Conservative",1140,4250,4970,1950,1550,610,7280,2760,2410,550,2940,740,530,140
"Central Suffolk and North Ipswich","Dr Dan Poulter","Conservative",1150,4590,5390,1980,1780,690,8170,2860,2460,520,3060,760,580,150
"Charnwood","Edward Argar","Conservative",1180,4610,5490,2130,1880,760,8180,2990,2540,560,3140,800,610,160
"Chatham and Aylesford","Tracey Crouch","Conservative",1540,5930,6880,2760,2350,900,10140,3910,3360,860,4130,1120,810,190
"Cheadle","Mary Robinson","Conservative",1090,4530,5160,1920,1750,670,7960,2780,2420,490,2960,690,510,120
"Chelmsford","Vicky Ford","Conservative",1340,5450,6450,2380,2130,750,9620,3430,2940,640,3660,890,720,190
"Chelsea and Fulham","Greg Hands","Conservative",1380,5300,5900,2340,1930,750,8840,3390,2980,680,3660,870,660,170
"Cheltenham","Alex Chalk","Conservative",1280,5040,5730,2220,1840,700,8610,3180,2740,600,3370,790,620,170
"Chesham and Amersham","Dame Cheryl Gillan","Conservative",1120,4760,5490,1980,2120,770,8610,2970,2480,460,3060,670,600,130
"Chesterfield","Toby Perkins","Labour",1160,4370,5610,2380,1710,790,7610,3210,2650,730,3260,960,610,190
"Chichester","Gillian Keegan","Conservative",1170,4640,5390,1990,1780,670,8110,2930,2520,550,3130,760,600,160
"Chingford and Woodford Green","Mr Iain Duncan Smith","Conservative",1480,5300,7010,2990,2230,1080,9310,3970,3320,960,4110,1340,830,230
"Chippenham","Michelle Donelan","Conservative",1390,4930,5850,2240,1850,720,8580,3210,2740,650,3400,890,650,180
"Chipping Barnet","Theresa Villiers","Conservative",2130,6850,8330,3520,2510,1050,11810,4870,4260,1210,5260,1490,960,270
"Chorley","Sir Lindsay Hoyle","Labour",1320,5300,5960,2250,2050,720,8980,3250,2890,640,3620,890,720,170
"Christchurch","Sir Christopher Chope","Conservative",900,3310,3940,1600,1170,470,5660,2220,1940,470,2350,600,400,110
"Cities of London and Westminster","Mark Field","Conservative",1260,4830,6300,2680,1920,950,8310,3590,3040,840,3740,1120,680,190
"City of Chester","Christian Matheson","Labour",1150,4420,5080,2000,1640,650,7560,2910,2530,570,3080,730,530,150
"City of Durham","Dr Roberta Blackman-Woods","Labour",990,3900,4420,1680,1450,540,6710,2410,2070,450,2550,610,470,130
"Clacton","Giles Watling","Conservative",1010,4180,4630,1930,1660,600,6800,2740,2380,590,2900,750,590,170
"Cleethorpes","Martin Vickers","Conservative",1140,4550,5530,2220,1920,810,7890,3140,2680,680,3290,870,630,180
"Colchester","Will Quince","Conservative",1630,6480,7820,3150,2550,1120,11410,4370,3750,930,4620,1200,870,230
"Colne Valley","Thelma Walker","Labour",1580,6040,7070,2660,2320,860,10370,3810,3420,770,4270,1080,840,220
"Congleton","Fiona Bruce","Conservative",1110,4090,5010,2040,1710,750,7320,2780,2300,550,2840,790,580,150
"Copeland","Trudy Harrison","Conservative",990,3590,4210,1730,1340,560,6170,2490,2120,520,2600,660,460,130
"Corby","Tom Pursglove","Conservative",1630,6340,7350,2780,2330,880,11050,4000,3390,750,4160,990,770,220
"Coventry North East","Colleen Fletcher","Labour",2280,8620,9990,4290,3110,1360,14230,5880,5280,1320,6400,1690,1070,340
"Coventry North West","Mr Geoffrey Robinson","Labour",1450,5630,6740,2660,2240,940,9910,3720,3210,800,3960,1050,780,210
"Coventry South","Mr Jim Cunningham","Labour",1340,5100,6130,2390,1980,710,8900,3400,2900,750,3550,960,680,170
"Crawley","Henry Smith","Conservative",1670,6500,7360,2830,2440,930,11130,4100,3520,770,4340,1030,810,220
"Crewe and Nantwich","Laura Smith","Labour",1480,5720,6440,2550,2060,790,9650,3640,3150,720,3880,930,710,190
"Croydon Central","Sarah Jones","Labour",2150,7090,9430,4020,3090,1530,13170,5490,4720,1310,5780,1700,1050,320
"Croydon North","Mr Steve Reed","Labour Co-op",2490,9660,11240,4590,3900,1590,16490,6540,5610,1420,6900,1810,1340,330
"Croydon South","Chris Philp","Conservative",1500,6220,7250,2710,2550,900,10900,3930,3410,740,4270,1020,870,220
"Dagenham and Rainham","Jon Cruddas","Labour",2110,7610,9220,3960,2920,1320,13050,5440,4740,1210,5780,1580,1020,330
"Darlington","Jenny Chapman","Labour",1270,4930,5720,2340,1970,810,8370,3340,2910,730,3560,930,650,160
"Dartford","Gareth Johnson","Conservative",1510,6250,7230,2660,2440,850,10890,3860,3370,720,4190,1000,810,210
"Daventry","Chris Heaton-Harris","Conservative",1480,4840,5960,2420,1820,740,8490,3340,2860,740,3500,970,640,180
"Denton and Reddish","Andrew Gwynne","Labour",1210,4790,6030,2560,1870,850,8150,3450,2950,790,3610,1020,640,190
"Derby North","Chris Williamson","Independent",1250,5040,6190,2400,2160,890,8950,3440,2960,720,3610,920,670,210
"Derby South","Margaret Beckett","Labour",1960,8200,9220,3890,3260,1260,13530,5460,4730,1190,5750,1510,1120,330
"Derbyshire Dales","Sir Patrick McLoughlin","Conservative",730,2880,3500,1330,1130,450,5260,1920,1570,320,1920,440,340,90
"Devizes","Claire Perry","Conservative",1290,5000,5960,2290,2010,800,8940,3230,2710,600,3380,870,670,180
"Dewsbury","Paula Sherriff","Labour",1700,6560,7400,2890,2400,910,11140,4160,3550,810,4380,1060,820,230
"Don Valley","Caroline Flint","Labour",1180,4790,5830,2260,1910,800,8420,3220,2800,680,3380,860,570,190
"Doncaster Central","Dame Rosie Winterton","Labour",1470,5700,6770,2720,2280,920,9870,3870,3340,840,4080,1070,750,180
"Doncaster North","Edward Miliband","Labour",1490,5650,6680,2800,2130,910,9550,3880,3440,850,4190,1110,730,230
"Dover","Charlie Elphicke","Conservative",1180,4750,5820,2290,1980,820,8340,3240,2800,700,3410,880,620,190
"Dudley North","Ian Austin","Independent",1650,5140,6440,2920,1760,790,8790,3780,3440,990,4120,1190,620,210
"Dudley South","Mike Wood","Conservative",1050,4190,5250,2130,1830,810,7430,3010,2520,640,3080,820,580,170
"Dulwich and West Norwood","Helen Hayes","Labour",1890,6740,8210,3470,2840,1330,11850,4940,4120,1110,5040,1410,940,260
"Ealing Central and Acton","Dr Rupa Huq","Labour",1530,6200,7560,2980,2580,1070,10910,4240,3630,890,4420,1130,790,250
"Ealing North","Stephen Pound","Labour",2260,7750,9680,4110,3200,1410,13770,5650,4840,1360,5970,1740,1160,320
"Ealing, Southall","Mr Virendra Sharma","Labour",1490,5750,7230,2820,2430,1010,10250,3980,3420,870,4190,1130,820,250
"Easington","Grahame Morris","Labour",1120,4640,5090,2160,1850,700,7540,3040,2630,660,3210,840,680,190
"East Devon","Sir Hugo Swire","Conservative",1160,4430,5300,2080,1910,780,7910,2920,2430,550,3030,800,640,160
"East Ham","Stephen Timms","Labour",3080,11250,13320,5600,4330,1920,19130,7910,6830,1740,8310,2260,1440,480
"East Hampshire","Mr Damian Hinds","Conservative",1220,4910,5520,2150,1820,710,8440,3050,2660,560,3290,790,610,140
"East Surrey","Mr Sam Gyimah","Conservative",1350,5360,6420,2400,2250,900,9640,3460,2920,620,3630,900,690,180
"East Worthing and Shoreham","Tim Loughton","Conservative",1200,4850,5630,2080,1940,710,8460,3010,2650,570,3310,820,660,160
"East Yorkshire","Sir Greg Knight","Conservative",1240,4560,5230,2150,1650,670,7670,3090,2650,630,3260,790,590,170
"Eastbourne","Stephen Lloyd","Independent",1260,4880,5880,2370,1930,840,8620,3290,2780,690,3430,920,670,180
"Eastleigh","Mims Davies","Conservative",1650,5820,6570,2620,2090,810,9760,3700,3170,760,3940,1040,770,200
"Eddisbury","Antoinette Sandbach","Conservative",1100,4420,5090,1930,1720,650,7580,2800,2470,560,3070,760,600,150
"Edmonton","Kate Osamor","Labour Co-op",1920,8510,9880,4060,3310,1290,14290,5750,4980,1220,5970,1530,970,340
"Ellesmere Port and Neston","Justin Madders","Labour",1000,4030,4830,1890,1610,690,7120,2670,2290,550,2810,720,540,140
"Elmet and Rothwell","Alec Shelbrooke","Conservative",1210,4510,5470,2230,1870,770,8030,3050,2510,580,3110,830,660,170
"Eltham","Clive Efford","Labour",1340,5190,6110,2390,2120,790,8980,3430,2960,750,3630,960,690,160
"Enfield North","Joan Ryan","Change UK - The Independent Group",2020,7770,9130,4010,3230,1400,13180,5620,4670,1250,5710,1560,1200,340
"Enfield, Southgate","Bambos Charalambous","Labour",1490,5500,6280,2560,1970,800,9240,3660,3220,750,3930,960,680,180
"Epping Forest","Dame Eleanor Laing","Conservative",1210,4990,5820,2160,2040,720,8790,3130,2720,590,3390,820,660,170
"Epsom and Ewell","Chris Grayling","Conservative",1320,5540,6290,2290,2240,810,9800,3380,2890,550,3550,780,640,150
"Erewash","Maggie Throup","Conservative",1200,4660,5820,2300,2020,860,8260,3270,2780,700,3400,910,650,200
"Erith and Thamesmead","Teresa Pearce","Labour",2630,9130,10660,4640,3240,1430,15020,6230,5690,1500,6930,1890,1200,400
"Esher and Walton","Dominic Raab","Conservative",1430,6110,7020,2450,2550,890,10970,3640,3120,570,3830,830,730,160
"Exeter","Mr Ben Bradshaw","Labour",1190,4610,5200,2010,1760,650,7910,2890,2470,540,3060,740,590,160
"Fareham","Suella Braverman","Conservative",950,4020,4790,1660,1680,610,7350,2460,2070,380,2540,560,490,110
"Faversham and Mid Kent","Helen Whately","Conservative",1350,5170,5870,2290,2000,760,8880,3360,2870,640,3530,840,650,180
"Feltham and Heston","Seema Malhotra","Labour Co-op",2170,8410,9700,3860,3370,1240,14300,5530,4780,1210,5890,1550,1160,270
"Filton and Bradley Stoke","Jack Lopresti","Conservative",1350,5060,5850,2280,1820,710,8630,3230,2800,640,3440,870,630,170
"Finchley and Golders Green","Mike Freer","Conservative",2240,7310,8960,3450,2520,1050,12670,4990,4310,1080,5290,1480,890,270
"Folkestone and Hythe","Damian Collins","Conservative",1280,5000,6220,2400,2130,900,8970,3420,2940,730,3580,950,690,210
"Forest of Dean","Mr Mark Harper","Conservative",1010,4020,4650,1760,1570,590,6910,2540,2240,500,2800,700,550,140
"Fylde","Mark Menzies","Conservative",910,3450,4070,1550,1420,540,6100,2210,1880,430,2340,610,490,120
"Gainsborough","Sir Edward Leigh","Conservative",1280,4500,5030,1970,1540,580,7480,2840,2410,610,2990,760,570,150
"Garston and Halewood","Maria Eagle","Labour",1540,5570,6460,2770,2080,890,9220,3770,3400,880,4160,1120,750,230
"Gateshead","Ian Mearns","Labour",1380,5220,6040,2610,1890,820,8610,3570,3210,800,3890,1020,650,210
"Gedling","Vernon Coaker","Labour",1280,4930,5340,2110,1790,660,8140,3040,2640,610,3280,790,640,160
"Gillingham and Rainham","Rehman Chishti","Conservative",1440,5510,6530,2590,2210,940,9660,3620,3100,770,3850,1040,770,200
"Gloucester","Richard Graham","Conservative",1670,6550,8000,3160,2830,1190,11490,4470,3840,960,4720,1280,950,270
"Gosport","Caroline Dinenage","Conservative",1470,5090,5910,2430,1920,770,8660,3470,2990,730,3700,960,700,180
"Grantham and Stamford","Nick Boles","Independent",1340,5330,6300,2350,2210,800,9400,3390,2950,650,3690,930,750,190
"Gravesham","Adam Holloway","Conservative",1770,5800,7470,3170,2400,1180,10550,4230,3520,1070,4400,1440,870,270
"Great Grimsby","Melanie Onn","Labour",1670,5320,6760,3070,2320,1050,9490,4150,3450,990,4270,1260,1010,250
"Great Yarmouth","Brandon Lewis","Conservative",1480,4990,6350,2760,1960,930,8860,3700,3270,910,4030,1170,760,220
"Greenwich and Woolwich","Matthew Pennycook","Labour",2220,8370,9530,4050,3110,1310,13720,5610,5010,1250,6130,1620,1090,340
"Guildford","Anne Milton","Conservative",1260,5000,5860,2150,2130,790,8910,3150,2690,570,3360,820,690,170
"Hackney North and Stoke Newington","Ms Diane Abbott","Labour",2990,10200,11910,5250,3640,1610,16680,7010,6410,1710,7840,2150,1390,450
"Hackney South and Shoreditch","Meg Hillier","Labour Co-op",2330,7740,9290,4220,3280,1520,13240,5770,4960,1410,6120,1750,1370,340
"Halesowen and Rowley Regis","James Morris","Conservative",1310,4870,5890,2410,1790,710,8170,3320,2830,790,3510,1020,730,200
"Halifax","Holly Lynch","Labour",1600,6190,7230,2970,2440,1000,10570,4210,3620,920,4430,1170,820,210
"Haltemprice and Howden","Mr David Davis","Conservative",880,3650,4200,1540,1500,550,6490,2250,1910,370,2370,540,480,110
"Halton","Derek Twigg","Labour",1340,5190,6120,2460,2060,800,8940,3480,3000,760,3670,970,700,180
"Hammersmith","Andy Slaughter","Labour",1360,5860,6710,2760,2270,870,9710,3920,3370,830,4070,1050,760,240
"Hampstead and Kilburn","Tulip Siddiq","Labour",2000,7510,9280,3790,2810,1150,12800,5190,4440,1250,5480,1590,1110,310
"Harborough","Neil O'Brien","Conservative",1260,4880,5700,2150,1920,750,8630,3070,2610,570,3260,830,640,160
"Harlow","Robert Halfon","Conservative",1620,5580,7690,3260,2270,1120,10030,4340,3590,1070,4390,1450,780,270
"Harrogate and Knaresborough","Andrew Jones","Conservative",1220,4940,5480,2130,1820,680,8470,3010,2580,550,3200,770,630,150
"Harrow East","Bob Blackman","Conservative",1420,5820,6700,2550,2310,850,10230,3730,3150,660,3880,880,730,200
"Harrow West","Gareth Thomas","Labour Co-op",1710,6190,7210,2840,2300,880,10680,4070,3450,830,4270,1070,820,230
"Hartlepool","Mike Hill","Labour",1250,5090,5870,2440,2130,810,8540,3470,2940,740,3590,950,770,220
"Harwich and North Essex","Sir Bernard Jenkin","Conservative",1260,4320,5230,1980,1620,610,7460,2800,2520,660,3160,900,640,160
"Hastings and Rye","Amber Rudd","Conservative",1540,5960,6600,2750,2160,860,9610,3810,3430,860,4210,1110,770,220
"Havant","Alan Mak","Conservative",1120,4580,5530,2180,1920,780,8020,3120,2680,660,3260,820,590,180
"Hayes and Harlington","John McDonnell","Labour",2300,8920,10200,4180,3450,1320,14990,5910,5100,1310,6280,1660,1230,300
"Hazel Grove","Mr William Wragg","Conservative",1090,3860,4620,1780,1470,610,6710,2600,2220,540,2750,740,510,150
"Hemel Hempstead","Sir Mike Penning","Conservative",1570,6100,6850,2730,2190,850,10220,3940,3460,790,4220,990,730,200
"Hemsworth","Jon Trickett","Labour",1390,5350,6570,2830,2010,890,9070,3800,3140,870,3870,1140,770,230
